Sort_ID,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Checker,Country,Region,Site_name,Site_ID,Paper_year,Study_midyear,YearsOfData,Annual_coverage,Latitude,Longitude,Elevation,MAT,MAP,MPET,Study_temp,Study_precip,Manipulation,Manipulation_level,Manipulation_age,IGBP,Ecosystem_age,Species,Leaf_habit,Ecosystem_state,LAI,Soil_family,Soil_texture,Soil_sand,Soil_silt,Soil_clay,Soil_rock,Soil_depth,Soil_BD,Soil_pH,Soil_SAR,Soil_SOC,Soil_C_stock,Soil_N,Soil_CN,Crust,Ksat,E,I30,EI30_R,K,L,Slope,Plant_cover_C,P,Meas_method,Method_details,Study_area,Field_scale,Field_area,Measure_time,Measure_interval,Replication,ER_annual_paper,ER_annual_units,Convertor,ER_annual,ER_Sedt_se,ER_Sedt_sd,ER_max,ER_maxday,Sediment_annual,Runoff_annual,Runoff_se,Runoff_sd,Runoff_max,Runoff_max_day,Leaching,Leaching_unit,Leaching_type,Data_source,Notes,Comments1,Comments2,Comment3
1,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P1,ES-AP-RHP1,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,OSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,80,,,,,1.4268,,,,10,,,,,,8,7,40,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,,,,,,,22.978,,,,,,,,Figure 5,Aggregate data available,,,
2,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P2,ES-AP-RHP2,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,CSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,90,,,,,1.4268,,,,5,,,,,,8,12,65,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.155,,,,,,13.431,,,,,,,,Figure 5,Aggregate data available,,,
3,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P3,ES-AP-RHP3,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,OSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,80,,,,,1.4268,,,,20,,,,,,8,15,20,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.172,,,,,,37.603,,,,,,,,Figure 5,Aggregate data available,,,
4,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P4,ES-AP-RHP4,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,OSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,50,,,,,1.4268,,,,40,,,,,,8,16,40,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.225,,,,,,29.543,,,,,,,,Figure 5,Aggregate data available,,,
5,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P5,ES-AP-RHP5,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,CSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,60,,,,,1.4268,,,,10,,,,,,8,18,70,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.052,,,,,,3.880,,,,,,,,Figure 5,Aggregate data available,,,
6,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P6,ES-AP-RHP6,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,CSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,80,,,,,1.4268,,,,20,,,,,,8,15.5,70,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.150,,,,,,15.966,,,,,,,,Figure 5,Aggregate data available,,,
7,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P7,ES-AP-RHP7,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,CSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,30,,,,,1.4268,,,,2,,,,,,8,19.5,80,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.022,,,,,,3.581,,,,,,,,Figure 5,Aggregate data available,,,
8,2020-01-11,1,Cantón,,"Q1, Q4",JJ,XD,Spain,Almería Province,Rambla Honda ?eld-P8,ES-AP-RHP8,2009,,2.67,1,37.13,-2.37,700,17.80,235.00,,,,None,,,CSH,45,Stipa tenacissima L. tussocks,Mixed,Unmanaged,,Typic Torriorthents,Loamy sand,77.56,,,45,,,,,1.4268,,,,4,,,,,,8,24.5,80,,Runoff plot,,,Runoff plot,16,Each rainfall event,,,,,,0.154,,,,,,11.640,,,,,,,,Figure 5,Aggregate data available,,,
9,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-U,2016,2009,1.00,1,40.13,-7.98,,12.00,1133.00,,,1095,Multiple factors,"Unplowed, fire",1,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,42,,0.83,,,,,,,,,,72,2168,,0.5,,3,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,0.250,,0.42,,,,90.000,,139.000,,,,,,Table 3,,,,
10,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-DP,2016,2009,1.00,1,40.13,-7.98,,12.00,1133.00,,,1095,Multiple factors,"Downslope plowing, fire",1,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,40,,1.05,,,,,,,,,,72,2168,,0.5,,6,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,0.450,,0.43,,,,131.000,,123.000,,,,,,Table 3,,,,
11,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-CP,2016,2009,1.00,1,40.13,-7.98,,12.00,1133.00,,,1095,Multiple factors,"Contour plowing, fire",1,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,46,,0.85,,,,,,,,,,72,2168,,0.5,,1,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,0.550,,0.22,,,,191.000,,40.000,,,,,,Table 3,,,,
12,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-U,2016,2010,1.00,1,40.13,-7.98,,12.00,1133.00,,,1295,Multiple factors,"Unplowed, fire",2,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,42,,0.83,,,,,,,,,,78,3938,,0.5,,4,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,0.330,,0.52,,,,245.000,,225.000,,,,,,Table 3,,,,
13,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-DP,2016,2010,1.00,1,40.13,-7.98,,12.00,1133.00,,,1295,Multiple factors,"Downslope plowing, fire",2,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,40,,1.05,,,,,,,,,,78,3938,,0.5,,10,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,0.440,,0.54,,,,257.000,,256.000,,,,,,Table 3,,,,
14,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-CP,2016,2010,1.00,1,40.13,-7.98,,12.00,1133.00,,,1295,Multiple factors,"Contour plowing, fire",2,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,46,,0.85,,,,,,,,,,78,3938,,0.5,,1,,Runoff plot,,,Runoff plot,0.375,Every week,7,4,,,,1.370,,0.71,,,,550.000,,55.000,,,,,,Table 3,,,,
15,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-U,2016,2011,1.00,1,40.13,-7.98,,12.00,1133.00,,,1534,Multiple factors,"Unplowed, fire",3,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,42,,0.83,,,,,,,,,,140,5161,,0.5,,4,,Runoff plot,,,Runoff plot,0.375,Every two weeks,14,4,,,,0.540,,0.51,,,,309.000,,160.000,,,,,,Table 3,,,,
16,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-DP,2016,2011,1.00,1,40.13,-7.98,,12.00,1133.00,,,1534,Multiple factors,"Downslope plowing, fire",3,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,40,,1.05,,,,,,,,,,140,5161,,0.5,,33,,Runoff plot,,,Runoff plot,0.375,Every two weeks,14,4,,,,0.820,,0.2,,,,410.000,,148.000,,,,,,Table 3,,,,
17,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-CP,2016,2011,1.00,1,40.13,-7.98,,12.00,1133.00,,,1534,Multiple factors,"Contour plowing, fire",3,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,46,,0.85,,,,,,,,,,140,5161,,0.5,,1.5,,Runoff plot,,,Runoff plot,0.375,Every two weeks,14,4,,,,1.320,,0.8,,,,671.000,,67.000,,,,,,Table 3,,,,
18,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-U,2016,2012,1.00,1,40.13,-7.98,,12.00,1133.00,,,833,Multiple factors,"Unplowed, fire",4,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,42,,0.83,,,,,,,,,,47.58,1679,,0.5,,8,,Runoff plot,,,Runoff plot,0.375,Every month,30,4,,,,0.140,,0.08,,,,218.000,,115.000,,,,,,Table 3,,,,
19,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-DP,2016,2012,1.00,1,40.13,-7.98,,12.00,1133.00,,,833,Multiple factors,"Downslope plowing, fire",4,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,40,,1.05,,,,,,,,,,47.58,1679,,0.5,,26,,Runoff plot,,,Runoff plot,0.375,Every month,30,4,,,,0.380,,0.26,,,,459.000,,83.000,,,,,,Table 3,,,,
