"Sort_ID","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Checker","Country","Region","Site_name","Site_ID","Paper_year","Study_midyear","YearsOfData","Annual_coverage","Latitude","Longitude","Elevation","MAT","MAP","MPET","Study_temp","Study_precip","Manipulation","Manipulation_level","Manipulation_age","IGBP.x","Ecosystem_age","Species","Leaf_habit","Ecosystem_state","LAI","Soil_family","Soil_texture","Soil_sand","Soil_silt","Soil_clay","Soil_rock","Soil_depth","Soil_BD","Soil_pH","Soil_SAR","Soil_SOC","Soil_C_stock","Soil_N","Soil_CN","Crust","Ksat","E","I30","EI30_R","K","L","Slope","Plant_cover_C","P","Meas_method","Field_scale","Field_area","Measure_time","Measure_interval","Replication","ER_annual_paper","ER_annual_units","Convertor","ER_annual","ER_Sedt_se","ER_Sedt_sd","ER_max","ER_maxday","Sediment_annual","Runoff_annual","Runoff_se","Runoff_sd","Runoff_max","Runoff_max_day","Leaching","Leaching_unit","Leaching_type","Data_source","Notes","Comments1","Comments2","Comment3","X","X.1","X.2","Tannual_del","Pannual_del","Latitude2","Longitude2","IGBP.y","Ecosystem","IGBP_group","barren_yn","ClimateTypes","MiddleClimate","Ecosystem2","MAT_Del","MAP_Del","IGBP","Soil_Group","Meas_method_group"
1,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P1","ES-AP-RHP1",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","OSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,80,"",NA,NA,NA,1.4268,NA,NA,NA,10,NA,NA,NA,NA,NA,8,7,40,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,22.978,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
2,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P2","ES-AP-RHP2",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","CSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,90,"",NA,NA,NA,1.4268,NA,NA,NA,5,NA,NA,NA,NA,NA,8,12,65,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.155,NA,NA,NA,"",NA,13.431,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
3,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P3","ES-AP-RHP3",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","OSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,80,"",NA,NA,NA,1.4268,NA,NA,NA,20,NA,NA,NA,NA,NA,8,15,20,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.172,NA,NA,NA,"",NA,37.603,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
4,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P4","ES-AP-RHP4",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","OSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,50,"",NA,NA,NA,1.4268,NA,NA,NA,40,NA,NA,NA,NA,NA,8,16,40,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.225,NA,NA,NA,"",NA,29.543,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
5,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P5","ES-AP-RHP5",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","CSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,60,"",NA,NA,NA,1.4268,NA,NA,NA,10,NA,NA,NA,NA,NA,8,18,70,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.052,NA,NA,NA,"",NA,3.88,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
6,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P6","ES-AP-RHP6",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","CSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,80,"",NA,NA,NA,1.4268,NA,NA,NA,20,NA,NA,NA,NA,NA,8,15.5,70,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.15,NA,NA,NA,"",NA,15.966,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
7,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P7","ES-AP-RHP7",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","CSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,30,"",NA,NA,NA,1.4268,NA,NA,NA,2,NA,NA,NA,NA,NA,8,19.5,80,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.022,NA,NA,NA,"",NA,3.581,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
8,"2020-01-11",1,"Cant車n",NA,"Q1, Q4","JJ","XD","Spain","Almer赤a Province","Rambla Honda ?eld-P8","ES-AP-RHP8",2009,1997,2.67,1,37.13,-2.37,700,17.8,235,NA,NA,NA,"None","","","CSH",45,"Stipa tenacissima L. tussocks","Mixed","Unmanaged",NA,"Typic Torriorthents","Loamy sand",77.56,NA,NA,45,"",NA,NA,NA,1.4268,NA,NA,NA,4,NA,NA,NA,NA,NA,8,24.5,80,NA,"Runoff plot","Runoff plot",16,"Each rainfall event",NA,NA,"","",NA,0.154,NA,NA,NA,"",NA,11.64,NA,NA,NA,"",NA,"","","Figure 5","Aggregate data available","","","",NA,NA,NA,13.65,316.4,37.25,-2.25,"OSH","Shrubland","SH",0,"BSk","B","Shrubland",12.81,274.49,"CSH","LS","Runoff plot"
9,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-U",2016,2009,1,1,40.13,-7.98,NA,12,1133,NA,NA,1095,"Multiple factors","Unplowed, fire","1","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,42,"",0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,2168,NA,0.5,NA,3,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,0.25,NA,0.42,NA,"",NA,90,NA,139,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.65,1591.4,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
10,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-DP",2016,2009,1,1,40.13,-7.98,NA,12,1133,NA,NA,1095,"Multiple factors","Downslope plowing, fire","1","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,40,"",1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,2168,NA,0.5,NA,6,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,0.45,NA,0.43,NA,"",NA,131,NA,123,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.65,1591.4,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
